"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US06013","Contra Costa County, California","1150215","*****","622301","9651","101253","3383","7347","2383","195848","3948","5718","674","134475","10148","83273","7988","18780","4927","64493","5620"
"0500000US06017","El Dorado County, California","190678","*****","169150","1290","1221","609","924","650","8834","1126","525","689","2255","949","7769","1297","630","547","7139","1223"
"0500000US06019","Fresno County, California","994400","*****","643787","10805","45504","3080","15894","4646","103204","2511","1252","439","139153","11013","45606","4879","9904","2274","35702","4158"
"0500000US06023","Humboldt County, California","136373","*****","106163","1721","1553","475","6438","1134","4610","922","33","44","7462","1848","10114","2212","1002","996","9112","2053"
"0500000US06025","Imperial County, California","181827","*****","117180","6009","4201","859","1035","376","2801","322","204","235","47971","5030","8435","2864","4949","2356","3486","1491"
"0500000US06029","Kern County, California","896764","*****","673595","10342","50289","3454","8106","1760","44299","2892","1656","594","84783","9983","34036","5583","9997","2624","24039","4767"
"0500000US06031","Kings County, California","151366","*****","96634","3747","10428","1396","1502","498","6833","607","273","348","30198","3816","5498","1581","1357","797","4141","1307"
"0500000US06033","Lake County, California","64382","*****","47341","1257","1546","100","3040","1761","622","323","15","32","9643","2153","2175","1135","339","519","1836","933"
"0500000US06037","Los Angeles County, California","10105518","*****","5184112","39738","811476","8422","76089","7431","1492554","9252","28376","1914","2076549","42339","436362","17064","135124","9906","301238","12114"
"0500000US06039","Madera County, California","157672","*****","91440","5612","5417","658","1510","661","3619","184","132","216","49419","5977","6135","1713","2589","1273","3546","1114"
"0500000US06041","Marin County, California","259666","*****","206330","4212","6312","974","275","212","16431","1343","466","182","16866","3964","12986","2566","2098","1409","10888","2151"
"0500000US06045","Mendocino County, California","87606","*****","73040","2083","294","281","3434","1126","2190","330","153","163","4829","1953","3666","809","68","119","3598","811"
"0500000US06047","Merced County, California","274765","*****","157100","6761","9118","1242","2300","1189","20204","1925","1094","1495","74161","6859","10788","2301","4130","1722","6658","1387"
"0500000US06053","Monterey County, California","435594","*****","205303","8932","11753","1233","6540","3259","25748","1870","2232","247","167885","9330","16133","2651","2778","865","13355","2595"
"0500000US06055","Napa County, California","139417","*****","106436","4048","2237","590","1011","814","12249","874","202","249","11435","3879","5847","1617","1148","735","4699","1190"
"0500000US06057","Nevada County, California","99696","*****","91285","2255","534","381","345","261","1249","500","158","252","2207","2300","3918","841","134","229","3784","795"
"0500000US06059","Orange County, California","3185968","*****","1922991","16838","59872","3402","13213","2686","666421","6135","10196","1765","378653","16760","134622","9457","26693","4111","107929","7948"
"0500000US06061","Placer County, California","393149","*****","322796","3018","6738","1119","2028","572","30817","1505","667","467","11993","3036","18110","3046","1729","886","16381","2665"
"0500000US06065","Riverside County, California","2450758","*****","1486443","20898","160065","5285","17330","2215","163182","4147","7783","1989","512513","20984","103442","8156","30480","4613","72962","6232"
"0500000US06067","Sacramento County, California","1540975","*****","874105","11018","152261","4606","11548","2863","248351","5826","18375","973","120060","10514","116275","9506","17071","3305","99204","8747"
"0500000US06071","San Bernardino County, California","2171603","*****","1320579","19051","178755","5550","19292","4156","157436","4011","6908","1136","383485","17760","105148","10666","27808","5800","77340","9080"
"0500000US06073","San Diego County, California","3343364","*****","2373583","14034","171408","4175","20446","2604","401745","7191","13943","1866","187840","11934","174399","10180","30296","5060","144103","8832"
"0500000US06075","San Francisco County, California","883305","*****","400727","5306","45886","2178","2308","945","302795","4830","2126","1215","71923","5384","57540","6619","9256","2467","48284","5770"
"0500000US06077","San Joaquin County, California","752660","*****","436288","9166","54996","2282","4560","1299","120792","3754","4351","840","47132","6666","84541","8323","6618","1902","77923","8443"
"0500000US06079","San Luis Obispo County, California","284010","*****","248227","2749","5123","1020","1731","538","10265","1153","235","194","6756","1982","11673","2104","1799","981","9874","1854"
"0500000US06081","San Mateo County, California","769545","*****","385286","9167","16374","1667","3089","1661","226445","3136","8787","1100","80699","9187","48865","4711","7803","1838","41062","4004"
"0500000US06083","Santa Barbara County, California","446527","*****","349976","6926","9371","861","6202","1810","24922","1281","500","484","35392","6118","20164","3731","4011","2404","16153","2985"
"0500000US06085","Santa Clara County, California","1937570","*****","859705","12972","49486","2260","8791","2098","721307","5678","6751","1467","191580","13292","99950","8044","16835","2675","83115","7115"
"0500000US06087","Santa Cruz County, California","274255","*****","201567","7296","2874","875","954","573","13521","1352","388","454","41896","7180","13055","2007","3456","1210","9599","1666"
"0500000US06089","Shasta County, California","180040","*****","153562","1655","2080","585","4384","1121","5654","765","341","338","6307","1621","7712","1555","865","449","6847","1445"
"0500000US06095","Solano County, California","446610","*****","237882","5407","59795","2532","2524","751","70209","2836","4869","573","39696","5558","31635","3951","3228","1078","28407","3959"
"0500000US06097","Sonoma County, California","499942","*****","369293","7201","8049","1765","5039","2619","21637","1533","1176","689","69166","7239","25582","3781","5799","2349","19783","2765"
"0500000US06099","Stanislaus County, California","549815","*****","434015","7100","16865","1625","5011","1206","28148","2064","4616","369","37100","5923","24060","3392","5696","2390","18364","2463"
"0500000US06101","Sutter County, California","96807","*****","66617","1895","2001","318","888","436","13831","1805","1399","1227","5094","1860","6977","1933","1231","780","5746","1971"
"0500000US06107","Tulare County, California","465861","*****","332150","11002","8947","1922","4550","1605","17675","1436","711","118","84196","10559","17632","3554","7236","2750","10396","2694"
"0500000US06111","Ventura County, California","850967","*****","685974","7779","14696","1512","5106","1438","64523","2165","1632","511","39930","6431","39106","5041","7790","1949","31316","4742"
"0500000US06113","Yolo County, California","220408","*****","158000","3186","6684","1629","925","776","31615","1545","1102","201","6636","2006","15446","2543","1266","723","14180","2435"
"0500000US06115","Yuba County, California","78041","*****","60004","1743","2132","717","1513","854","5721","1122","1025","1041","2385","1070","5261","1638","867","738","4394","1371"
"0500000US08001","Adams County, Colorado","511868","*****","416894","7327","16804","1684","5317","1742","18457","2235","362","472","24160","5044","29874","6901","4451","1494","25423","7029"
"0500000US08005","Arapahoe County, Colorado","651215","*****","469233","6088","73002","4184","5249","1500","38778","1887","1526","389","30804","5457","32623","4203","5412","2025","27211","3827"
"0500000US08013","Boulder County, Colorado","326078","*****","286455","2960","3185","1095","1804","630","14360","1131","117","142","8019","2666","12138","2483","1826","1533","10312","1913"
"0500000US08014","Broomfield County, Colorado","69267","*****","60869","662","1103","243","196","211","4951","564","0","204","450","477","1698","831","370","449","1328","612"
"0500000US08031","Denver County, Colorado","716492","*****","544519","7056","64199","3478","6686","1989","26827","1788","1213","309","43500","7258","29548","3814","4291","1457","25257","3672"
"0500000US08035","Douglas County, Colorado","342776","*****","305784","1515","5180","965","1497","538","16299","1531","87","103","3697","1465","10232","1733","1475","816","8757","1519"
"0500000US08041","El Paso County, Colorado","713856","*****","568933","5190","45510","2973","5466","1919","20891","1887","2548","758","25671","4986","44837","4849","8339","2955","36498","4578"
