County,Median_Age,Percent_Age_17_and_Under,Percent_Age_65_and_Older,Percent_Age_85_and_Older,Percent_Hispanic,Percent_White_Alone,Percent_African_American_Alone,Percent_American_Indian_&_Alaska_Native_Alone,Percent_Asian_Alone,Percent_Native_Hawaiian_and_Other_Pacific_Islander_Alone,Percent_Multi_Racial,Per_Capita_Income,Median_Household_Income,Avg_Annual_Pay,Percent_Population_in_Poverty,Percent_Population_under_18_in_Poverty,Percent_Urban,Percent_Rural,Percent_HS_Graduate_or_Higher,Percent_Bachelors_Degree_or_Higher,Percent_Unemployed,County_Population,Population_Density_per_Sq_Mile,Percent_Uninsured,Percent_Insured,State,FIPS,State_Abbr,RUCC_2013,RUCC_Description
Carson,41.9,23.39,21.09,2.19,10.32,94.64,0.87,1.76,0.6,0.05,2.08,46373,64799,82411,8.9,12.2,4.8,95.2,92.2,26.4,3.2,5926,6.72,15.3,84.7,Texas,48065,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Cass,44.5,22.19,22.83,2.74,4.65,80.28,16.91,0.67,0.45,0.05,1.64,36905,44154,36834,20.4,32.0,25.99,74.01,85.9,14.4,6.0,30026,32.51,16.8,83.2,Texas,48067,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Castro,35.0,28.67,16.41,2.19,65.04,93.75,2.71,1.81,0.71,0.01,1.0,42786,45689,36980,17.5,24.2,54.24,45.76,70.5,13.1,3.3,7530,9.01,29.1,70.9,Texas,48069,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Chambers,35.1,27.78,12.0,1.05,22.92,87.71,8.3,1.03,1.28,0.12,1.57,53673,89513,63980,8.5,10.9,54.28,45.72,83.8,21.1,6.5,43837,58.77,15.1,84.9,Texas,48071,TX,1,Metro - Counties in metro areas of 1 million population or more
Cherokee,38.2,25.31,17.94,2.05,23.51,81.17,14.61,1.64,0.56,0.07,1.95,34468,43483,36122,17.4,24.6,36.95,63.05,79.6,17.4,4.5,52646,48.29,22.4,77.6,Texas,48073,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Childress,33.6,19.0,15.95,2.07,31.52,85.77,11.11,0.98,0.67,0.03,1.44,30084,42291,38109,21.2,25.4,66.85,33.15,85.3,15.6,3.0,7306,10.11,21.5,78.5,Texas,48075,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Clay,47.4,19.75,23.72,2.78,6.59,95.07,0.9,1.38,0.49,0.01,2.15,42335,58356,37220,10.9,16.9,25.4,74.6,89.3,16.3,3.6,10471,9.88,18.6,81.4,Texas,48077,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Cochran,36.5,26.81,16.4,1.72,59.7,90.82,4.38,3.0,0.46,0.25,1.1,38312,42873,40099,21.9,31.8,0.0,100.0,70.0,9.5,4.6,2853,4.03,27.0,73.0,Texas,48079,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Coke,47.0,20.93,27.96,3.1,21.49,94.66,0.89,2.44,0.15,0.03,1.82,41895,44804,40418,14.1,21.4,0.0,100.0,85.3,20.5,3.7,3387,3.64,17.3,82.7,Texas,48081,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Coleman,48.8,20.32,25.92,2.74,17.45,92.36,3.18,1.42,1.0,0.04,2.0,40669,39484,30611,19.3,30.6,48.45,51.55,82.6,14.2,4.4,8175,7.05,24.1,75.9,Texas,48083,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Collin,37.2,25.64,11.27,1.05,15.4,70.14,10.46,0.69,15.87,0.1,2.74,65874,96936,66886,6.4,6.7,94.76,5.24,93.6,50.2,3.4,1034730,930.0,12.5,87.5,Texas,48085,TX,1,Metro - Counties in metro areas of 1 million population or more
