"County","County Population"," Population Density Per Sq Mile","County Seat","County Seat Population"
"Travis","1,273,954","1,034.40","Austin"," 790,390 "
"Trinity","14,651","21.03","Groveton"," 1,057 "
"Tyler","21,672","23.54","Woodville"," 2,586 "
"Upshur","41,753","67.43","Gilmer"," 4,905 "
"Upton","3,657","2.70","Rankin"," 778 "
"Uvalde","26,741","17.01","Uvalde"," 15,751 "
"Val Verde","49,025","15.54","Del Rio"," 35,591 "
"Van Zandt","56,590","62.40","Canton"," 3,581 "
"Victoria","92,084","98.39","Victoria"," 62,592 "
"Walker","72,971","86.54","Huntsville"," 38,548 "
"Waller","55,246","84.15","Hempstead"," 5,770 "
"Ward","11,998","12.75","Monahans"," 6,953 "
"Washington","35,882","55.83","Brenham"," 15,716 "
"Webb","276,652","74.46","Laredo"," 236,091 "
"Wharton","41,556","38.01","Wharton"," 8,832 "
"Wheeler","5,056","5.92","Wheeler"," 1,592 "
"Wichita","132,230","209.47","Wichita Falls"," 104,553 "
"Wilbarger","12,769","13.94","Vernon"," 11,002 "
"Willacy","21,358","37.48","Raymondville"," 11,284 "
"Williamson","590,551","377.96","Georgetown"," 47,400 "
"Wilson","51,070","53.40","Floresville"," 6,448 "
"Winkler","8,010","8.45","Kermit"," 5,708 "
"Wise","69,984","65.38","Decatur"," 6,042 "
"Wood","45,539","65.04","Quitman"," 1,809 "
"Yoakum","8,713","9.85","Plains"," 1,481 "
"Young","18,010","20.29","Graham"," 8,903 "
"Zapata","14,179","14.04","Zapata"," 5,089 "
"Zavala","11,840","9.00","Crystal City"," 7,138 "
