"County","Ethnicity: % Hispanic","Race: % White Alone","Race: % African American Alone","Race: % American Indian & Alaska Native Alone","Race: % Asian Alone","Race: % Native Hawaiian and Other Pacific Islander Alone","Race: % Multi-Racial"
"Kaufman","22.27","82.84","12.55","1.02","1.36","0.09","2.14"
"Kendall","24.21","94.65","1.42","0.73","1.36","0.09","1.75"
"Kenedy","73.23","91.76","3.89","1.6","0.69","0","2.06"
"Kent","19.28","94.08","1.52","1.65","0.14","0.14","2.48"
"Kerr","27.26","93.8","1.96","1.14","1.21","0.11","1.79"
"Kimble","24.6","96.4","0.71","1.41","0.83","0.07","0.58"
"King","15.58","95.65","0","1.45","0","0.36","2.54"
"Kinney","61.08","93.69","2.14","1.52","0.43","0.22","2"
"Kleberg","73.32","90.82","4.13","0.91","2.45","0.17","1.52"
"Knox","34.82","89.62","6.09","1.28","0.27","0.03","2.7"
"La Salle","86.92","96.82","1.33","0.79","0.4","0.03","0.63"
"Lamar","7.99","81.02","13.41","1.84","0.77","0.05","2.91"
"Lamb","55.81","91.46","4.57","1.69","0.4","0.11","1.78"
"Lampasas","19.44","90","4.09","1.28","1.35","0.47","2.81"
"Lavaca","19.27","90.82","6.51","0.63","0.54","0.08","1.42"
"Lee","23.88","85.58","10.95","1.12","0.57","0.22","1.56"
"Leon","14.95","89.72","7.18","0.86","0.75","0.02","1.46"
"Liberty","26.59","86.37","9.91","1.17","0.73","0.1","1.72"
"Limestone","22.35","78.65","17.38","1.21","0.74","0.07","1.95"
"Lipscomb","34.14","92.31","1.94","2.06","0.87","0.18","2.63"
"Live Oak","40.45","92.07","4.76","1.2","0.76","0.09","1.12"
"Llano","10.77","95.88","1.21","0.96","0.59","0.04","1.33"
"Loving","16.22","95.95","3.38","0.68","0","0","0"
"Lubbock","35.88","86.64","7.84","1.12","2.39","0.13","1.87"
"Lynn","47.44","93.14","2.75","1.88","0.46","0.02","1.74"
"Madison","23.39","76.18","19.93","1.2","0.8","0.08","1.8"
"Marion","4.3","74.07","21.23","1.27","0.91","0.08","2.44"
"Martin","47.42","93.91","2.92","1.36","0.55","0.09","1.18"
"Mason","25.83","96.81","0.92","0.75","0.33","0.28","0.92"
"Matagorda","42.84","83.6","11.29","1.37","1.9","0.12","1.72"
"Maverick","95.23","96.38","0.65","1.77","0.65","0.04","0.52"
