"County","Per Capita Income","Total Personal Income","Median Household Income","Average Annual Pay","% of Population in Poverty","% of Population Under 18 in Poverty"
"Jeff Davis","$42,947","$96,717,000","$51,343","$32,516","13.1","34.4"
"Jefferson","$44,065","$11,236,716,000","$48,121","$57,522","18.7","27.8"
"Jim Hogg","$30,696","$161,094,000","$36,176","$39,765","25.2","38.6"
"Jim Wells","$40,570","$1,656,154,000","$41,919","$46,969","21.2","33.3"
"Johnson","$41,697","$7,145,318,000","$62,635","$44,877","10.7","15.5"
"Jones","$30,559","$605,580,000","$43,903","$38,185","22","24"
"Karnes","$49,593","$776,133,000","$48,743","$55,016","21.8","25.3"
"Kaufman","$42,837","$5,509,791,000","$67,434","$42,759","11.5","15.3"
"Kendall","$84,270","$3,846,150,000","$90,937","$49,971","7.5","10.5"
"Kenedy","$43,561","$19,254,000","$42,153","$65,819","14.3","20.3"
"Kent","$54,858","$39,827,000","$47,625","$38,936","13.3","20.3"
"Kerr","$50,150","$2,628,122,000","$53,704","$41,998","13.9","23.3"
"Kimble","$43,309","$188,915,000","$42,503","$30,911","17.6","35.9"
"King","$55,661","$15,418,000","$57,925","$41,427","13.7","15.7"
"Kinney","$30,431","$114,633,000","$43,192","$45,606","21.1","26.6"
"Kleberg","$38,997","$1,213,924,000","$42,605","$38,089","25","33.3"
"Knox","$38,457","$140,483,000","$39,726","$40,838","20.4","31.5"
"La Salle","$35,809","$269,678,000","$40,072","$69,630","29.6","35.5"
"Lamar","$40,763","$2,027,045,000","$45,767","$41,695","14.4","22.2"
"Lamb","$38,247","$503,257,000","$42,700","$40,780","20","27.8"
"Lampasas","$49,457","$1,049,913,000","$55,151","$34,888","12.9","20.2"
"Lavaca","$50,919","$1,023,974,000","$51,128","$39,272","13.5","22.2"
"Lee","$46,713","$800,851,000","$55,834","$50,118","12.3","17.8"
"Leon","$40,388","$697,506,000","$47,065","$53,551","15.6","24.4"
"Liberty","$37,237","$3,214,378,000","$52,577","$46,375","15.1","23.2"
"Limestone","$35,771","$841,290,000","$43,226","$43,681","22.2","33"
"Lipscomb","$64,757","$217,259,000","$57,332","$54,757","12","17.5"
"Live Oak","$35,636","$433,544,000","$48,814","$55,304","18.7","25.6"
"Llano","$47,476","$1,027,673,000","$54,019","$37,388","12.3","23.4"
"Loving","$56,730","$8,623,000","$78,637","$51,219","3.3","9.6"
"Lubbock","$42,569","$13,086,192,000","$50,377","$43,951","17.6","20.3"
"Lynn","$33,119","$194,638,000","$43,436","$47,796","18.3","26.8"
"Madison","$30,435","$438,937,000","$45,445","$38,112","17.9","23.4"
"Marion","$38,063","$377,893,000","$38,011","$33,565","21.9","34"
"Martin","$56,021","$322,287,000","$56,484","$54,456","13.6","19.6"
"Mason","$44,601","$190,894,000","$49,560","$34,243","12.7","23.4"
"Matagorda","$40,596","$1,483,848,000","$48,830","$56,438","18.4","27.8"
"Maverick","$30,505","$1,784,103,000","$35,594","$34,102","25.9","35"
"McCulloch","$37,927","$302,921,000","$42,719","$42,226","18.5","28.2"
"McLennan","$41,254","$10,503,574,000","$48,858","$46,345","18.9","23.4"
"McMullen","$72,150","$54,040,000","$64,633","$53,682","11.1","15.9"
"Medina","$39,403","$2,006,434,000","$59,304","$37,513","12.3","17.9"
"Menard","$35,311","$75,530,000","$35,881","$28,493","21.6","40.8"
"Midland","$124,455","$21,478,156,000","$80,189","$75,220","10.1","13.5"
"Milam","$36,135","$908,101,000","$46,720","$41,591","15.6","25.4"
"Mills","$37,153","$182,832,000","$47,068","$33,402","14.6","24.6"
"Mitchell","$31,913","$259,929,000","$48,529","$45,356","21.4","26.7"
"Montague","$42,074","$824,484,000","$50,542","$41,779","13.8","20.9"
"Montgomery","$63,605","$37,585,521,000","$77,598","$56,210","9.3","12.9"
"Moore","$41,275","$886,792,000","$53,785","$46,724","12.2","16.8"
"Morris","$43,421","$535,768,000","$41,418","$52,675","20.2","31.1"
"Motley","$28,938","$35,710,000","$41,009","$28,729","17.8","30.3"
"Nacogdoches","$37,755","$2,480,887,000","$45,357","$37,636","21.6","25.5"
"Navarro","$37,922","$1,879,580,000","$46,259","$38,513","20","27.7"
"Newton","$33,350","$458,423,000","$43,367","$36,652","22.3","29.2"
"Nolan","$43,087","$635,579,000","$42,522","$43,186","18.2","26.5"
"Nueces","$44,378","$16,076,668,000","$53,034","$47,777","16.2","22.6"
"Ochiltree","$57,287","$569,833,000","$49,845","$49,209","10.5","15.7"
"Oldham","$49,120","$104,674,000","$56,590","$41,415","13","25.4"
"Orange","$44,938","$3,755,583,000","$56,556","$53,149","13.4","20.1"
"Palo Pinto","$39,125","$1,129,721,000","$46,067","$45,001","15.9","25"
"Panola","$43,508","$1,007,115,000","$51,192","$47,910","15.7","25.9"
"Parker","$53,289","$7,373,626,000","$73,718","$46,502","8.3","11.5"
"Parmer","$44,981","$443,690,000","$50,539","$42,659","13.5","19.2"
"Pecos","$36,584","$573,380,000","$47,008","$47,626","19.5","24.3"
"Polk","$39,438","$1,973,118,000","$46,017","$39,945","15","24.7"
"Potter","$43,945","$5,257,978,000","$41,912","$45,397","19.7","27.7"
"Presidio","$42,848","$297,710,000","$37,738","$41,460","22.4","35.2"
"Rains","$33,602","$408,566,000","$47,572","$32,814","14.5","23.7"
"Randall","$47,966","$6,536,422,000","$69,600","$44,092","8.5","11.4"
"Reagan","$48,253","$180,515,000","$65,273","$61,452","10","13.5"
"Real","$34,687","$120,642,000","$39,506","$26,667","18.1","35.6"
"Red River","$40,648","$494,889,000","$42,233","$34,602","18.2","28.6"
"Reeves","$39,418","$618,668,000","$45,341","$60,934","21.5","21.9"
"Refugio","$42,606","$299,607,000","$44,821","$40,682","16.3","25.5"
"Roberts","$41,971","$37,900,000","$67,470","$45,308","7.8","10.2"
"Robertson","$40,394","$698,169,000","$44,917","$45,181","15.8","25.6"
"Rockwall","$61,003","$6,140,356,000","$102,858","$43,042","5.1","6.9"
"Runnels","$39,816","$407,479,000","$42,205","$35,849","16.9","23.9"
"Rusk","$36,485","$1,986,623,000","$49,788","$43,780","16.4","20.8"
"Sabine","$34,631","$366,708,000","$40,641","$37,316","17.6","28.5"
"San Augustine","$39,879","$328,285,000","$38,826","$38,384","22.2","34.3"
"San Jacinto","$34,514","$991,205,000","$47,028","$35,112","17.5","28.4"
"San Patricio","$43,945","$2,939,583,000","$53,559","$48,612","17.3","26.1"
"San Saba","$41,233","$249,625,000","$43,827","$42,027","16.8","28"
"Schleicher","$40,136","$116,195,000","$47,317","$45,307","16.5","23.8"
"Scurry","$42,095","$709,975,000","$53,059","$56,126","15.8","21.3"
"Shackelford","$130,461","$424,390,000","$57,126","$58,884","13.4","20.5"
"Shelby","$41,666","$1,059,078,000","$41,961","$37,926","20.6","30.1"
"Sherman","$49,508","$152,435,000","$57,052","$42,044","12.1","15.9"
"Smith","$55,229","$12,714,831,000","$56,848","$45,429","15","22.2"
"Somervell","$45,756","$412,536,000","$63,929","$59,912","9.7","14.2"
"Starr","$26,316","$1,698,035,000","$30,490","$30,320","33.2","45.3"
"Stephens","$39,289","$370,612,000","$43,115","$39,047","19.4","30.4"
"Sterling","$58,174","$76,266,000","$59,064","$44,968","12.6","17.3"
"Stonewall","$53,416","$72,753,000","$46,915","$38,952","14.6","17.8"
"Sutton","$61,478","$231,034,000","$54,774","$68,360","14.2","22.6"
"Swisher","$41,977","$313,232,000","$43,084","$36,306","19.2","29.2"
"Tarrant","$51,239","$106,829,236,000","$66,059","$55,632","12.1","16.8"
"Taylor","$45,333","$6,239,643,000","$48,040","$42,473","16","22.1"
"Terrell","$48,024","$39,524,000","$41,413","$42,097","18.9","22.8"
"Terry","$32,062","$393,943,000","$41,268","$46,249","22.4","32.6"
"Throckmorton","$35,941","$54,450,000","$42,701","$28,655","14.3","24.3"
"Titus","$34,718","$1,146,830,000","$45,604","$38,006","18.6","29.7"
"Tom Green","$45,993","$5,435,909,000","$51,393","$43,100","15.5","23.7"
"Travis","$67,504","$84,294,574,000","$76,255","$66,723","12","15.2"
"Trinity","$34,514","$508,734,000","$40,486","$33,543","17.7","30.3"
"Tyler","$32,081","$696,027,000","$44,041","$35,594","18.2","26.4"
"Upshur","$36,645","$1,511,967,000","$48,554","$37,490","15.9","21.1"
"Upton","$44,545","$163,525,000","$53,867","$68,076","14.2","20.2"
"Uvalde","$39,458","$1,059,298,000","$39,725","$34,063","22.9","35"
"Val Verde","$36,554","$1,798,748,000","$44,276","$37,204","18.9","28.9"
"Van Zandt","$38,200","$2,139,922,000","$51,152","$35,278","15.6","20.8"
"Victoria","$46,142","$4,246,686,000","$51,646","$46,341","15.4","21.4"
