"County","Land Area","Water Area","Total Area","Percent Urban","Percent Rural"
"Victoria","882.10","6.70","888.80","73.37","26.63"
"Walker","784.20","17.30","801.50","54.42","45.58"
"Waller","513.30","4.60","517.90","38.36","61.64"
"Ward","835.60","0.20","835.80","72.11","27.89"
"Washington","604.20","17.60","621.80","46.51","53.49"
"Webb","3,361.50","14.10","3,375.60","97.4","2.6"
"Wharton","1,086.20","8.20","1,094.40","50.1","49.9"
"Wheeler","914.50","0.90","915.50","0","100"
"Wichita","627.60","5.30","632.90","89.33","10.67"
"Wilbarger","970.90","7.00","978.00","78.11","21.89"
"Willacy","590.60","194.20","784.80","65.42","34.58"
"Williamson","1,115.50","16.10","1,131.60","88.01","11.99"
"Wilson","803.70","4.70","808.40","14.14","85.86"
"Winkler","841.30","0.00","841.30","81.87","18.13"
"Wise","904.40","18.20","922.60","27.89","72.11"
"Wood","645.20","50.50","695.70","25.8","74.2"
"Yoakum","799.70","0.00","799.70","62.67","37.33"
"Young","914.50","16.40","930.90","66.43","33.57"
"Zapata","998.40","59.60","1,058.00","76.47","23.53"
"Zavala","1,297.40","4.30","1,301.70","61.97","38.03"
